,emotion,gender,actor_id,intensity,statement,repetition,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40
20,sad,male,1,01,01,01,-634.87775,77.04579,-2.881323,18.228151,8.792021,-3.5449214,-2.9235716,-10.810565,-13.933831,-5.671138,-5.5116515,-2.236655,-1.2557416,-8.325458,-2.664788,-1.731523,-7.075951,-5.9192863,-3.9966412,-1.0787858,-8.653606,-3.0007677,-3.3646183,-6.336575,-2.606874,-2.3765152,-5.824426,-1.6907818,-3.1245556,-2.4756916,-3.048692,-2.808999,-3.2685823,-2.9380736,-5.9292264,-3.6716666,-2.9941452,-3.0002751,-4.748886,-3.5988863
21,sad,male,1,01,01,02,-670.48425,72.873276,-5.1224165,16.831566,8.073151,-1.8720027,-0.56346905,-9.439884,-12.272229,-6.3696413,-1.7951288,-2.1579027,-1.9174446,-4.019978,-0.820049,-1.0795549,-4.4997125,-3.168274,-1.8992168,-0.03345491,-7.971951,-1.5145023,-1.4623287,-5.0189357,-1.5053787,-1.4203625,-4.5484543,-1.1193113,-3.76879,-1.0662378,-1.5668805,-2.0686922,-2.5244703,-1.6422297,-4.4274507,-0.16416538,-2.0172532,-2.4775257,-4.056416,-3.261261
22,sad,male,1,01,02,01,-707.9433,70.332085,-3.9816372,16.394804,7.665536,-2.1531868,-2.0609136,-8.838734,-12.73049,-4.445475,-1.1473314,-1.5855492,-1.4445826,-3.8576825,-3.1639435,-0.28633496,-5.2824993,-7.181724,-0.79826766,-0.5464986,-7.2208514,-2.4526753,-3.4026449,-5.1541767,-1.9493812,-0.9015921,-3.5024421,-0.04203971,-3.7990978,0.2105698,-2.9764132,-4.1611137,-2.1258526,-1.602657,-3.6401587,-0.9943942,-0.97100997,-2.4562793,-4.884325,-3.2111259
23,sad,male,1,01,02,02,-681.6502,69.696846,0.46915498,18.170815,6.870313,-0.44826296,1.3564287,-8.938223,-14.520136,-4.707396,-2.8978689,-3.0332134,-0.14261878,-4.885949,-3.056107,2.1999576,-3.744821,-5.2094474,-2.044978,-0.24154109,-7.8430214,-2.47625,-2.398621,-4.36,-2.43996,-0.75774604,-5.19757,-2.790206,-2.800651,-0.08250819,-2.109564,-1.934762,-2.4254668,-2.9693751,-4.8703504,-1.9857112,-2.5730886,-2.0088472,-3.2734528,-3.0102918
24,sad,male,1,02,01,01,-624.8101,77.52801,0.09783754,19.884455,8.857916,-3.2568476,-2.22375,-10.291403,-12.763717,-2.6949503,-3.904852,-4.1572266,-0.9079892,-7.24711,-2.4668372,0.57413495,-6.842411,-4.4614463,-3.7321234,-0.69859695,-6.781902,-1.8096281,-3.318017,-6.629781,-2.8193378,-1.5284666,-4.887973,0.33631632,-2.564757,-0.61758,-3.7881548,-1.4543369,-4.144865,-2.48268,-5.1396904,-1.8882736,-2.8223004,-3.6318288,-3.686525,-4.2838573
25,sad,male,1,02,01,02,-587.7398,62.540543,-6.0625525,12.954742,4.5477104,-4.493005,-10.604273,-8.7653885,-18.683168,-5.4651875,-2.7438278,-8.550165,0.3845365,-5.978398,-6.335192,1.3707365,-11.189714,-4.1348557,-0.848069,-3.292099,-8.0812,-2.4947405,-8.771584,-4.790197,-4.681863,-1.8375655,-5.729276,-2.7981439,-3.22326,-1.6797478,-3.5090318,-3.631932,-4.1926837,-2.524725,-4.727424,1.0487726,-0.7372233,-2.215904,-4.0107474,-2.272119
26,sad,male,1,02,02,01,-577.98413,67.7605,-7.037595,16.876732,4.9397554,-3.4777792,-8.413763,-11.454424,-22.813314,-5.9835215,-2.8746705,-8.92794,0.4575774,-6.9570003,-4.6691775,1.8295953,-8.299769,-5.6541367,-3.55823,-3.196613,-9.203224,-4.8167734,-3.3349092,-7.440195,-5.8242803,-1.3806399,-8.370972,-1.8472542,-4.4240565,-2.2289813,-4.3265195,-3.152255,-4.214752,-3.3816924,-4.9842615,-2.892626,-0.9237009,-0.7284992,-0.7197327,-0.32175773
27,sad,male,1,02,02,02,-557.87836,62.923645,-5.1800895,16.349602,2.8336833,-3.8141265,-8.793596,-11.089685,-19.799898,-4.8437257,-1.6096737,-7.6002574,0.58435786,-7.919229,-4.78739,1.747889,-9.882435,-5.459357,-3.4665058,-3.3617272,-8.5848675,-2.662432,-3.3549588,-7.0483427,-4.042422,-1.4286568,-7.349901,-0.14223169,-6.0407524,-1.1384003,-4.3413706,-3.2771757,-4.806124,-3.8904321,-4.938908,-2.529762,-1.8988775,-3.084751,-3.9164906,-2.5584524
28,angry,male,1,01,01,01,-490.88266,54.25925,-7.4870563,15.928641,-1.8539724,-3.7620165,-5.56719,-1.9980386,-15.838935,-6.1874022,-1.1881503,-6.118937,-0.94793445,-5.944806,-4.269844,-2.3766723,-7.8854313,-2.5771987,-5.113807,-4.347992,-6.7218223,-3.2926989,-5.567199,-5.2388186,-4.341762,-1.6398294,-6.219887,1.593617,-2.9304256,-1.0795166,0.028551806,-0.56054544,-2.7654803,-2.2101164,-3.2277915,-0.030124517,-1.7449634,-0.4719314,-4.556301,-1.5693076
29,angry,male,1,01,01,02,-467.40607,52.420807,-7.031423,10.8307705,-4.428555,-4.906848,-9.143121,-11.159566,-17.296751,-8.546915,-5.92051,-8.759364,-4.6776457,-6.181968,-6.1003737,-4.014664,-11.021619,-2.4491906,-7.340503,-5.613894,-5.990827,-3.4721642,-2.7792346,-1.6105298,-2.8825755,-0.21246012,-4.124021,-0.28249958,-4.044201,-2.5582023,-1.9458946,-2.7863116,-3.1022503,-2.5781817,-3.0257728,1.841863,-0.08399429,3.4406376,-0.5158194,1.1878489
30,angry,male,1,01,02,01,-547.852,53.038635,-2.017712,13.761202,-0.44743535,-2.0050333,-6.04138,-7.5075955,-15.572765,-4.4823604,-4.1543255,-5.0845604,-1.0711081,-6.2513943,-2.5614452,-0.6266861,-8.949374,-3.1533513,-2.5529606,-5.0702133,-7.3024883,-2.5135822,-3.8307903,-5.648984,-3.9197464,-2.3185258,-5.9078765,-1.1890646,-3.0683212,-2.2971225,-1.3586402,-1.4731318,-0.98999256,-1.1038349,-2.9271228,0.13577804,-1.0961785,-0.6152867,-2.600343,-0.50588644
31,angry,male,1,01,02,02,-488.1695,54.694916,-3.3864207,10.768423,0.12106793,-4.39837,-5.445421,-8.1943865,-18.647003,-6.2122154,-3.171641,-7.064699,0.15659931,-6.523325,-5.536565,1.0029278,-11.336969,-1.7971032,-2.1439152,-6.0620465,-7.720647,-0.8119526,-5.3429203,-4.437901,-3.8787217,-3.2865832,-7.0405006,-1.9070435,-3.949613,-1.5069284,-1.1524138,-1.3249352,-0.043549348,-2.33425,-3.320681,0.81641555,-1.5101765,1.3624227,-1.9196767,-1.7709217
32,angry,male,1,02,01,01,-281.9608,38.79511,-25.803072,0.33637837,-16.025085,-7.020027,-17.174591,-16.689877,-17.486822,-11.457615,-8.344426,-6.4184804,-9.525339,-8.518447,-6.8829803,-1.9056753,-10.116424,2.852041,2.3586233,5.036193,4.073009,6.5173197,5.8161106,0.5082085,0.11043091,0.84720975,-3.1744661,3.2679214,2.1567721,-1.5196708,-0.55379486,-1.2045082,1.7810969,0.87819564,-3.2669334,2.5988183,1.7862191,1.583717,-3.3368995,-0.32830128
33,angry,male,1,02,01,02,-302.81027,42.156296,-22.560318,4.5147657,-11.462321,-9.415368,-14.791269,-8.066682,-22.015171,-11.771349,-7.8800106,-12.188114,-7.0418053,-5.675289,-8.486818,-5.4493494,-17.249435,-8.477712,-7.9987097,-10.332306,-8.854511,-1.5720155,-2.052761,2.8131204,7.4206085,7.05046,1.853647,4.9363856,-2.7083962,1.5019982,4.96396,3.242655,-1.120311,-0.48797396,-3.0886908,3.3524528,1.9990171,1.5982524,-2.9082036,-0.18081401
34,angry,male,1,02,02,01,-329.68204,37.055607,-18.648388,6.549638,-9.69645,-6.251557,-13.365949,-8.641983,-21.028406,-8.458945,-4.560714,-10.382032,-3.6614401,-5.9766197,-7.696667,-0.7375309,-13.345436,-2.6788087,-4.848446,-5.5952826,-4.244586,-0.098897316,-2.3763936,-0.09666173,0.21520185,2.9356773,-0.65228355,0.51225734,-1.2488643,1.2540885,0.838885,1.2002751,-1.8619775,0.7428738,-0.8754409,3.5796964,1.7076281,4.155754,0.92293525,2.9183989
35,angry,male,1,02,02,02,-203.71127,31.237106,-29.7649,-4.1967,-16.171604,-10.366575,-24.224531,-15.5820465,-22.46269,-13.666406,-3.8765843,-12.2436075,-8.562599,-6.63368,-5.9647584,-1.6022563,-8.183718,2.6915336,6.9725285,2.2979758,0.60346055,3.243782,1.9122957,2.6968155,1.017781,-1.4852362,-6.2742853,-1.2933086,-1.9117941,-0.2775662,-2.7942622,-2.52876,-1.5561429,0.25205982,-1.7292386,1.5849133,0.4625632,2.8834336,-2.116397,-2.4053993
36,fear,male,1,01,01,01,-556.8871,65.23701,-0.8844127,15.528003,9.315155,-3.4577763,-4.75956,-9.59,-14.681816,-2.4063623,-4.3896494,-1.3501872,2.8211205,-5.950896,0.29738197,4.5817943,-6.4379396,-3.3915462,-1.7722456,-2.5688565,-6.8432937,-0.93268406,-3.9576643,-4.7166314,-2.1382685,-0.5423283,-4.793309,0.7097576,-5.0846877,-0.92208195,-2.387239,-1.9862177,-3.4390888,-1.6219783,-5.0305634,-2.3776696,-1.0525192,-0.978105,-1.4736575,0.29152915
37,fear,male,1,01,01,02,-567.487,65.36763,-8.041981,10.584494,4.9713964,-5.184732,-9.513165,-14.307925,-19.514025,-4.8828053,-4.1978416,-7.547044,-0.60285985,-8.201453,-2.8359308,2.733505,-9.388875,-5.6641273,-3.4752731,-4.1663737,-7.3732896,-2.0395932,-5.7081776,-6.1352124,-4.208549,-2.3768969,-6.9168544,-1.0877366,-4.56189,-3.299412,-4.882916,-1.8697983,-3.2395093,1.0426626,-1.4028858,1.5495741,1.860205,1.6359074,-2.175323,0.3999115
38,fear,male,1,01,02,01,-589.57043,65.85815,5.0010986,19.115837,8.962849,2.2062829,-3.108552,-7.925137,-11.226555,-1.3120211,-1.812971,-1.4567817,1.5219241,-3.889041,-0.21205306,3.4482944,-3.8070805,-2.59912,0.5249795,2.1992974,-7.1305637,-0.9666946,-2.438046,-4.136274,-3.6149898,-0.43760633,-4.6607456,0.42927364,-3.1756506,-1.2889687,-2.3439043,-1.1812257,-3.2494988,-2.0938494,-4.4605155,-1.9593049,-1.0032171,-1.560655,-3.8304589,-2.798908
39,fear,male,1,01,02,02,-572.24146,73.2304,-4.453161,18.55243,8.006945,-0.5232409,-4.976837,-13.243358,-13.188245,-1.2169546,-1.4427079,-1.766065,0.091265164,-4.5880613,0.94868624,0.4715652,-3.635206,-4.375126,-0.31326717,1.804372,-8.524257,0.28375864,-3.5729864,-4.476092,-2.719838,-1.9265735,-6.030081,0.27667528,-4.644814,-1.3391186,-3.1704261,-0.7512247,-5.2249494,-2.9012597,-5.6857753,-1.2584717,-0.80267113,-2.702006,-4.1529126,-3.7433002
40,fear,male,1,02,01,01,-381.20517,46.21375,-16.112617,11.222985,0.36505643,2.1569877,-8.653439,-11.128906,-17.983055,-5.915207,-0.61622643,-4.382983,-1.822785,-4.616922,-3.695333,7.343104,-4.236615,-7.111952,-1.6815711,-3.0429177,-9.075514,0.28423005,-1.9224769,0.108372495,0.63557047,7.518637,0.27214515,5.0783887,4.385578,0.97349465,6.2910295,6.464178,2.3303044,4.857182,-2.2527204,1.0797628,3.4325092,4.5862064,0.50621367,2.7642055
41,fear,male,1,02,01,02,-345.00552,53.832165,-23.191202,-2.9327543,1.2612116,-2.245147,-14.613241,-17.309965,-22.67938,-11.397805,-7.083717,-12.531209,-9.080574,-8.487774,-6.4912763,2.7733843,-12.107281,-10.076799,-3.2833776,-5.0582123,-9.542675,-2.6077783,1.1848421,4.3669276,6.1848583,10.785544,3.1628182,5.892459,3.5916526,5.881636,8.695485,5.88287,0.38548648,-0.21831489,-3.0244372,2.830983,3.3751833,1.1134936,-3.800818,-1.7252666
42,fear,male,1,02,02,01,-327.22842,38.10477,-20.152472,-1.265624,-8.63289,-4.885596,-13.674496,-19.788265,-20.102554,-11.717586,-5.8508706,-10.589451,-9.681366,-8.227257,-8.5977,3.981781,-12.332334,-7.4992647,-2.8675165,-2.4843853,-5.666286,-1.1533217,1.1256677,3.86119,7.8538375,14.166328,6.3271594,7.779133,0.8076834,0.45314682,1.7253754,3.8434978,3.5352387,0.5524956,-3.3429608,2.3689625,3.3272963,2.6127622,-1.2796069,-0.8279185
43,fear,male,1,02,02,02,-372.55228,51.752296,-19.79276,0.40403178,-2.402372,0.48074058,-16.220163,-15.567818,-19.226673,-13.107581,1.3469814,-9.818463,-8.82035,-8.300779,-7.1668115,3.1241071,-11.655761,-8.318049,-1.568809,-6.4425497,-9.16103,-2.5886474,-0.9226959,1.2676567,2.5136192,8.458217,4.3928194,8.428199,6.0135016,4.352053,4.771456,3.5892591,1.6481382,2.3794918,-1.8079566,5.578155,1.102527,0.88766974,-2.7002604,1.0796396
44,disgust,male,1,01,01,01,-608.10876,74.05153,-3.7700224,12.989513,4.8434834,-0.29351947,-9.097124,-8.4314375,-17.472172,-5.6186976,-0.8769347,-10.0501795,-2.0687003,-8.900199,-1.4770008,-3.8332918,-8.542457,-3.86393,-5.618012,-3.0695407,-7.051498,0.5529021,-7.132628,-3.2201824,-2.9133127,-2.4756935,-4.1189704,-0.5368211,-3.9216008,0.91250145,-2.0191696,0.85082144,-2.268557,0.068172045,-2.671215,-0.37102038,-2.4030533,0.28695148,-3.6497047,-1.5190768
45,disgust,male,1,01,01,02,-570.6642,64.86812,-1.0601846,5.253758,4.0684137,-0.17848769,-11.513788,-8.216217,-16.826477,-5.7203794,0.086738,-7.555612,-4.1504335,-5.872661,-2.5720303,-3.2435288,-7.0203023,-3.4810526,-2.5431163,-0.62166417,-6.524409,0.89308435,-8.106054,-2.6590354,-2.851666,-1.8080575,-5.797596,0.5675037,-2.505935,1.6103783,-2.4924612,0.9301157,-2.6437595,-1.1674379,-1.7762381,1.9525921,-0.36796513,1.7902914,-2.058799,-1.2057018
46,disgust,male,1,01,02,01,-618.00977,81.75966,5.1432557,17.117785,2.1418347,4.153972,-6.379088,-14.638542,-9.802097,-3.2726498,-3.2458754,-4.1042876,-1.3867999,-7.045141,-1.9322544,0.26514995,-7.9521804,-3.035034,-2.6299195,-3.6688445,-10.200774,-0.3523988,-3.5615385,-5.0856657,-5.498486,-2.8122284,-5.3488345,-2.1896958,-3.4652057,-2.1633418,-5.0448036,-2.084636,-5.3577533,-2.2937584,-5.76242,-1.6528168,-3.0594249,-3.6189656,-6.440035,-3.3960721
47,disgust,male,1,01,02,02,-615.58765,69.54795,-1.4478816,13.171683,-0.5882066,4.2653694,-7.17142,-13.238632,-9.752041,-2.067048,-0.040096577,-5.222174,-0.75940377,-8.1720705,-1.753723,-0.032990955,-7.716242,-3.2985306,-1.846455,-2.4569356,-7.59911,-2.3206677,-4.411737,-4.5119534,-5.375691,-1.6348438,-5.499183,-0.799742,-2.446828,-2.303859,-4.1046457,-2.1760046,-4.6502376,-2.3784776,-5.6742015,-2.720064,-2.5612729,-0.8098304,-4.159687,-2.0882218
48,disgust,male,1,02,01,01,-434.45212,53.705257,-3.9677885,-7.0210414,-10.349296,-2.1920698,-15.132009,-20.78881,-17.664001,-10.190953,-5.4927387,-5.026477,-9.43798,-7.408103,-6.6130857,-8.085606,-9.279678,-3.7129185,-9.083761,-5.7248573,-11.2539215,-4.020912,-3.3162472,0.6332503,0.53845704,0.7603787,-0.72082186,4.246888,1.8498071,3.3433769,1.7738497,4.5945573,0.29379964,2.4531612,2.2749355,2.2955704,-0.4263947,0.9303962,-2.444202,-0.6022926
